Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe & Central Asia (excluding high income),ECA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84E+12,2.70E+12,2.41E+12,2.28E+12,2.05E+12,2.02E+12,2.01E+12,2.06E+12,2.01E+12,2.04E+12,2.21E+12,2.28E+12,2.41E+12,2.55E+12,2.77E+12,2.96E+12,3.17E+12,3.41E+12,3.55E+12,3.37E+12,3.54E+12,3.75E+12,3.87E+12,4.01E+12,4.10E+12,4.16E+12,4.23E+12,
Europe & Central Asia (IDA & IBRD countries),TEC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.61130047,12.11134005,11.3968401,11.52328968,12.31606007,12.63548517,13.07590961,11.2919302,12.61225986,11.87980986,11.16341972,11.10004997,11.30628014,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,6.86E+12,7.08E+12,7.41E+12,7.87E+12,8.04E+12,7.96E+12,8.33E+12,8.55E+12,8.83E+12,9.18E+12,9.31E+12,9.31E+12,9.39E+12,9.56E+12,9.79E+12,1.01E+13,1.03E+13,1.07E+13,1.11E+13,1.15E+13,1.19E+13,1.21E+13,1.22E+13,1.22E+13,1.25E+13,1.28E+13,1.30E+13,1.34E+13,1.38E+13,1.42E+13,1.48E+13,1.51E+13,1.53E+13,1.55E+13,1.59E+13,1.63E+13,1.69E+13,1.73E+13,1.73E+13,1.66E+13,1.70E+13,1.73E+13,1.72E+13,1.73E+13,1.75E+13,1.79E+13,1.82E+13,
European Union,EUU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48540974,,10.82086992,11.11577511,,10.9900651,11.06927013,11.07563019,11.86071968,11.50884533,11.62484026,11.72140026,12.07252026,12.03361511,11.62495995,11.90371037,11.41065025,11.11258984,11.10004997,11.30628014,11.54858494,11.64978981,,,
European Union,EUU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23E+11,,,,,,,
Fragile and conflict affected situations,FCS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92E+11,3.10E+11,3.22E+11,3.41E+11,3.65E+11,3.89E+11,4.13E+11,4.32E+11,4.51E+11,4.71E+11,4.95E+11,5.02E+11,5.51E+11,5.83E+11,6.07E+11,
Heavily indebted poor countries (HIPC),HPC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9077301,15.73184013,15.46272516,,14.9615097,16.97918987,17.62064457,,16.21773529,18.17561913,17.37575912,15.3847599,16.17449999,16.61007977,,,,
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,1.53E+13,1.59E+13,1.67E+13,1.78E+13,1.80E+13,1.80E+13,1.88E+13,1.95E+13,2.04E+13,2.12E+13,2.15E+13,2.19E+13,2.19E+13,2.26E+13,2.36E+13,2.45E+13,2.53E+13,2.62E+13,2.75E+13,2.86E+13,2.95E+13,2.99E+13,3.05E+13,3.09E+13,3.18E+13,3.27E+13,3.37E+13,3.48E+13,3.57E+13,3.70E+13,3.85E+13,3.90E+13,3.96E+13,4.05E+13,4.19E+13,4.31E+13,4.44E+13,4.55E+13,4.55E+13,4.41E+13,4.55E+13,4.63E+13,4.69E+13,4.75E+13,4.83E+13,4.93E+13,4.99E+13,
